url,template,file,indexable,in_sitemap,title_len,meta_desc_len,h1_count,heading_skips,wa_ctas,tel_links,forms,schema,checks_performed,viewports_inspected,result,untested
/about/,legacy,about/index.html,index,yes,63,174,1,2,4,6,0,yes,static parse; rendered layout; contrast sampling; tap targets; heading order; img alt; CTA presence,360 390 768 1440,PASS no horizontal overflow; contrast nodes flagged 6; h1=1; heading-level skips 2,live-network render; real-device touch; screen-reader pass; form submission; visual design review
/agra-airport-taxi/,rebuilt,agra-airport-taxi/index.html,index,yes,58,141,1,0,9,7,0,yes,static parse; rendered layout; contrast sampling; tap targets; heading order; img alt; CTA presence,360 390 768 1440,PASS no horizontal overflow; contrast nodes flagged 51; h1=1,live-network render; real-device touch; screen-reader pass; form submission; visual design review
/agra-karauli-kaila-devi-balaji-tour/,rebuilt,agra-karauli-kaila-devi-balaji-tour/index.html,index,yes,59,160,1,0,9,7,0,yes,static parse; rendered layout; contrast sampling; tap targets; heading order; img alt; CTA presence,360 390 768 1440,PASS no horizontal overflow; contrast nodes flagged 51; h1=1,live-network render; real-device touch; screen-reader pass; form submission; visual design review
/agra-local-sightseeing/,rebuilt,agra-local-sightseeing/index.html,index,yes,71,169,1,0,9,7,0,yes,static parse; rendered layout; contrast sampling; tap targets; heading order; img alt; CTA presence,360 390 768 1440,PASS no horizontal overflow; contrast nodes flagged 51; h1=1,live-network render; real-device touch; screen-reader pass; form submission; visual design review
/agra-railway-station-taxi/,rebuilt,agra-railway-station-taxi/index.html,index,yes,62,157,1,0,9,7,0,yes,static parse; rendered layout; contrast sampling; tap targets; heading order; img alt; CTA presence,360 390 768 1440,PASS no horizontal overflow; contrast nodes flagged 51; h1=1,live-network render; real-device touch; screen-reader pass; form submission; visual design review
/agra-taxi-fares/,rebuilt,agra-taxi-fares/index.html,index,yes,56,177,1,0,7,5,0,yes,static parse; rendered layout; contrast sampling; tap targets; heading order; img alt; CTA presence,360 390 768 1440,PASS no horizontal overflow; contrast nodes flagged 50; h1=1,live-network render; real-device touch; screen-reader pass; form submission; visual design review
/agra-temple-tour-by-cab/,rebuilt,agra-temple-tour-by-cab/index.html,index,yes,53,152,1,0,9,7,0,yes,static parse; rendered layout; contrast sampling; tap targets; heading order; img alt; CTA presence,360 390 768 1440,PASS no horizontal overflow; contrast nodes flagged 51; h1=1,live-network render; real-device touch; screen-reader pass; form submission; visual design review
/agra-to-aligarh/,rebuilt,agra-to-aligarh/index.html,index,yes,53,151,1,0,9,7,0,yes,static parse; rendered layout; contrast sampling; tap targets; heading order; img alt; CTA presence,360 390 768 1440,PASS no horizontal overflow; contrast nodes flagged 51; h1=1,live-network render; real-device touch; screen-reader pass; form submission; visual design review
/agra-to-bateshwar/,rebuilt,agra-to-bateshwar/index.html,index,yes,55,161,1,0,9,7,0,yes,static parse; rendered layout; contrast sampling; tap targets; heading order; img alt; CTA presence,360 390 768 1440,PASS no horizontal overflow; contrast nodes flagged 51; h1=1,live-network render; real-device touch; screen-reader pass; form submission; visual design review
/agra-to-bharatpur-taxi/,rebuilt,agra-to-bharatpur-taxi/index.html,index,yes,52,166,1,0,9,7,0,yes,static parse; rendered layout; contrast sampling; tap targets; heading order; img alt; CTA presence,360 390 768 1440,PASS no horizontal overflow; contrast nodes flagged 51; h1=1,live-network render; real-device touch; screen-reader pass; form submission; visual design review
/agra-to-delhi-airport-taxi/,rebuilt,agra-to-delhi-airport-taxi/index.html,index,yes,57,167,1,0,9,7,0,yes,static parse; rendered layout; contrast sampling; tap targets; heading order; img alt; CTA presence,360 390 768 1440,PASS no horizontal overflow; contrast nodes flagged 51; h1=1,live-network render; real-device touch; screen-reader pass; form submission; visual design review
/agra-to-etawah/,rebuilt,agra-to-etawah/index.html,index,yes,52,172,1,0,9,7,0,yes,static parse; rendered layout; contrast sampling; tap targets; heading order; img alt; CTA presence,360 390 768 1440,PASS no horizontal overflow; contrast nodes flagged 46; h1=1,live-network render; real-device touch; screen-reader pass; form submission; visual design review
