ID,status,priority,URL/template,viewport,category,issue,evidence,affected visitor,likely booking impact,recommendation,acceptance criteria,effort,confidence,dependencies,resolution_note
PST-01,PENDING OWNER,P0,"Whole site — deployment","all","Release / delivery","The audited build is NOT the build customers see. Production www.padmashreetravels.in serves an older build than the preview.","Investigated 12 Sep 2026. Both hosts are Vercel (Server: Vercel, region bom1). Production landing.css sha 531c725a09a4 matches NO commit in either git history (30 most recent commits touching that file scanned in both). Preview sha e38fad602246 == origin/master (23be435). Production homepage lacks: conversion-tracking.js, premium review variant, collapsible SEO block, teal section system, footer wordmark; and still contains the retired ""Verified reviews on Google"" band.","All visitors on the real domain","Every fix in this report stays invisible to customers until production is redeployed.","See UX-IMPLEMENTATION-REPORT.md section 4 for the full deployment recommendation and rollback. Requires Vercel dashboard access to confirm which project holds the www domain.","curl of css/landing.css returns an identical sha256 on www.padmashreetravels.in and the preview URL.",S,High,"Vercel dashboard access; owner decision","Investigated, not actionable from the repository alone. Domain-to-project assignment cannot be read from local config."
PST-02,FIXED,P1,"blog/* (12 articles)","360/390/768/1440","Accessibility / content legibility","Data-table column headers rendered white on near-white and were effectively invisible.","Reproduced before fixing: blog/css/blog.css:42 .dtable th{background:var(--black);color:var(--white)} (0,1,1) vs css/style.css:2176 .dtable thead th{background:var(--g50)} (0,1,2). Higher specificity replaced the background but not the colour. Measured 1.07:1 across 37 rendered th elements.","Anyone reading a blog itinerary or fare table","Unreadable fare/itinerary tables undermined the fare-transparency message.","Removed the accidental background/font overrides from the Jul-2026 scroll fix so the original dark-header design in blog.css applies.","Computed contrast >= 4.5:1 on all 12 articles at all four viewports.",S,High,None,"FIXED. css/style.css:2176 now sets only white-space:nowrap. Measured 1.07:1 -> 19.8:1 on 37 th elements, 0 articles failing, at 360/390/768/1440. .ftbl unaffected (19.24:1). Scroll wrapper retained (overflow-x:auto). Before/after screenshots in audit/screenshots/."
PST-03,NOT REPRODUCED,P1,"blog/taj-mahal-visiting-guide/","all","Content defect / trust","Reported: an unfinished template placeholder image ships in production.","FALSE POSITIVE. The your-image.jpg reference sits inside an HTML comment (a developer note block, lines 136-147). Rendered check: 0 network requests for the placeholder, 0 broken images, no <img> with that src in the DOM. My audit regex did not strip comments, and the ""live 404"" was me requesting the URL directly, which proves nothing about whether the page requests it.","None","None","No change required. The comment is a useful authoring note.","n/a",n/a,High,None,"NOT REPRODUCED — audit false positive, corrected. No code changed."
PST-04,FIXED,P1,"blog/braj-yatra-from-agra-by-cab/, blog/","all","Content defect / trust","A referenced photograph was missing and rendered as a broken image.","Reproduced: rendered at 750x422 (loading=eager, above the fold) on the article and 358x202 on the blog index. images/about/founder-braj-plains.webp absent from disk; 404 live.","Readers of the Braj Yatra article and the blog index","Broken imagery on trust-building content weakened the ""real local operator"" positioning.","Repoint to an existing destination-only image and rewrite the alt to describe the new photograph truthfully.","Both pages load with zero broken images.",S,High,None,"FIXED. Repointed both references to images/destinations/dest-govardhan-kund.webp with new alt ""Whitewashed shrine beside the water at Govardhan, one of the Braj pilgrimage stops"". Destination-only choice follows the owner's evidenced preference (commit 822d8f1 replaced flagged founder photos with destination-only shots). Verified: 0 broken images on both pages."
PST-05,FIXED,P1,"/book/ and /agra-to-mathura-vrindavan/","n/a","Discoverability / SEO","Two live indexable pages — including the booking page — were absent from sitemap.xml.","Reproduced: both return 200 and are canonical + index,follow, but had no <loc> entry. Live sitemap had 56 entries.","Search-originating visitors","The lowest-friction conversion surface was excluded from crawl hints.","Add both URLs with appropriate priority.","sitemap.xml contains both URLs and remains well-formed.",S,High,None,"FIXED. sitemap.xml now 58 <url> entries, tags balanced, urlset closed. /book/ priority 0.9, /agra-to-mathura-vrindavan/ priority 0.8."
PST-06,PARTIALLY FIXED,P1,"Whole site — content policy","all","Trust / claim safety","Cancellation and refund terms appear on 3 of 59 pages (5%); payment methods on 11 (19%).","Topic scan across 59 public pages. Additional context found during implementation: docs/claims-policy-audit.md shows the cancellation policy was DELIBERATELY removed from metadata, schema and visible text because it could not be evidenced. The sparseness is an existing owner-approved decision, not an oversight.","Every prospective customer","Cancellation and payment ambiguity is a pre-enquiry drop-off point.","Publish one canonical Booking Terms block once the owner confirms the real policy. Do not restore the previous wording without confirmation.","A single terms source is linked from /book/, /agra-taxi-fares/ and every route page.",M,High,"OWNER Q4, Q7, Q8","Cancellation OWNER-CONFIRMED 2026-09-12: free at least 12 hours before departure. Published on book/, agra-to-sirsaganj/, the homepage FAQ (visible + FAQPage schema) and under the final CTA on 36 route pages = 38 pages. A stale maintainer note citing the old 2-hour figure was resolved on both pages it named. Late-cancellation charges, no-show terms and advance-refund handling remain UNCONFIRMED and are stated nowhere. PAYMENT METHODS still pending owner (Q7)."
PST-07,FIXED,P1,"Whole site (57 pages carry the dominant phrasing)","all","Claim safety","""Available 24/7"" is asserted site-wide with no stated basis.","Claim catalogue built during implementation: 38 distinct phrasings. Dominant: ""Available 24/7."" on 57 pages (footer brand line). Others include ""We run 24 hours a day, every day of the year including holidays and festivals."" (4 pages, visible + schema) and ""Available 24 hours a day, with same-day booking usually possible."" (2 pages, schema). Not covered by the earlier claims audit, so this is a new finding.","All visitors, especially airport and sunrise journeys","Availability is the load-bearing promise for those journeys.","Confirm what is genuinely guaranteed, then either keep or replace with: ""Call or message us to check availability for your travel time — we confirm before you book.""","Every instance is owner-confirmed or uses the softened wording, including the schema copies.",M,High,"OWNER Q5","OWNER-CONFIRMED 2026-09-12: support runs daily 9 AM-9 PM IST. Implemented site-wide. Claims were classified before editing into SUPPORT (6 phrasings, 57 pages - replaced with the confirmed hours), OPERATIONS (17 phrasings - de-absolutised to on-request wording, so the site neither promises round-the-clock pickups nor claims they stop at 9 PM) and AMBIGUOUS (17 phrasings - classified individually by rendered context). Verified: 0 rendered availability absolutes across all 59 public pages; 12 remain only inside HTML editorial comments and are flagged, not changed. Vehicle/pickup hours remain UNCONFIRMED."
PST-08,DEFERRED,P1,"/ (homepage)","390","Performance","Homepage transfers ~1.6 MB, of which ~1.55 MB is imagery, with no responsive images.","Live measurement: 1603 KB total, 1546 KB images, 23 requests. 13 image files; 12 destination cards 65-184 KB each. srcset on 0 of 15 <img>; no preload. TTFB median 195 ms — the weight is payload, not latency. 13 of 15 images already carry loading=lazy.","Journey F — in-market visitor on a slow mobile connection","Highest-intent journey served the heaviest page.","Generate width-variant derivatives and add srcset/sizes to the destination cards.","Homepage image transfer at 390px is under 600 KB.",M,High,"Image build pipeline","DEFERRED. The meaningful win (srcset) requires generating new image derivatives, which is an asset-production task rather than a code fix, and would add ~36 binary files. Flagged for a dedicated pass so it can be reviewed as an asset change."
PST-09,FIXED,P2,"20 pages (blog/*, about/, contact/, partners/, route-finder/)","all","Accessibility","Heading levels were skipped, breaking the document outline.","Reproduced: 26 skips across 20 pages. Two dominant patterns — h2 -> h4 (legacy footer column headings and blog card/timeline titles) and h1 -> h3 (3 pages).","Screen-reader users navigating by heading","A broken outline hides content from heading-based navigation.","Re-sequence heading levels; update the three element-in-selector CSS rules in the same pass so styling is unchanged.","Zero level jumps greater than 1 on all public pages; no styling change.",M,High,None,"FIXED. 20 pages -> 0. Changes: footer .ft__h h4->h3 (63 tags, 22 pages); .rpost/.tc2/.btl__c item titles h4->h3 (69 tags, 16 files) with blog/css/blog.css selectors updated to match; .rel-card h4->h3 (5 tags) with css/style.css selector updated; contact/ and partners/ section h3->h2; route-finder .rcard__dest h3->h2 (32 tags). Verified: 0 tag mismatches and 0 nested headings across 65 files; computed font-size/weight/colour identical before and after on every affected component; 0 stranded h4 site-wide."
PST-10,FIXED,P2,"/ (homepage) — FAQ answer","all","Security / consistency","One WhatsApp link opened in the same tab and omitted rel=noopener.","Reproduced: 7 wa.me links on the homepage; the FAQ answer link had target=(none) rel=(none) while the other 6 had target=_blank rel=noopener.","Any visitor tapping the link from the FAQ","Losing the visitor's place in the booking decision.","Match the site convention.","All wa.me links have target=_blank and rel containing noopener.",S,High,None,"FIXED. Added target=_blank rel=""noopener noreferrer"". Verified in the rendered DOM: 7 of 7 homepage WhatsApp links now carry target=_blank and rel=noopener."
